date,value,classification
2023-01-01,50.0,Neutral
2023-01-02,52.0,Neutral
2023-01-03,51.3,Neutral
2023-01-04,53.9,Neutral
2023-01-05,59.8,Neutral
2023-01-06,58.3,Neutral
2023-01-07,57.0,Neutral
2023-01-08,62.9,Greed
2023-01-09,65.4,Greed
2023-01-10,62.7,Greed
2023-01-11,64.3,Greed
2023-01-12,61.7,Greed
2023-01-13,59.2,Neutral
2023-01-14,59.7,Neutral
2023-01-15,51.6,Neutral
2023-01-16,44.6,Neutral
2023-01-17,42.6,Neutral
2023-01-18,39.0,Fear
2023-01-19,40.8,Neutral
2023-01-20,37.6,Fear
2023-01-21,32.6,Fear
2023-01-22,39.3,Fear
2023-01-23,38.9,Fear
2023-01-24,39.8,Fear
2023-01-25,34.6,Fear
2023-01-26,33.2,Fear
2023-01-27,34.5,Fear
2023-01-28,30.6,Fear
2023-01-29,33.1,Fear
2023-01-30,31.5,Fear
2023-01-31,31.3,Fear
2023-02-01,29.8,Fear
2023-02-02,38.2,Fear
2023-02-03,38.8,Fear
2023-02-04,35.1,Fear
2023-02-05,39.1,Fear
2023-02-06,34.8,Fear
2023-02-07,36.4,Fear
2023-02-08,29.2,Fear
2023-02-09,25.0,Fear
2023-02-10,27.0,Fear
2023-02-11,31.1,Fear
2023-02-12,32.7,Fear
2023-02-13,33.1,Fear
2023-02-14,32.8,Fear
2023-02-15,27.7,Fear
2023-02-16,26.0,Fear
2023-02-17,25.3,Fear
2023-02-18,30.8,Fear
2023-02-19,33.1,Fear
2023-02-20,26.9,Fear
2023-02-21,29.4,Fear
2023-02-22,28.9,Fear
2023-02-23,27.2,Fear
2023-02-24,30.8,Fear
2023-02-25,35.9,Fear
2023-02-26,40.3,Neutral
2023-02-27,37.4,Fear
2023-02-28,36.8,Fear
2023-03-01,38.8,Fear
2023-03-02,43.3,Neutral
2023-03-03,41.7,Neutral
2023-03-04,41.4,Neutral
2023-03-05,37.4,Fear
2023-03-06,33.2,Fear
2023-03-07,37.3,Fear
2023-03-08,43.4,Neutral
2023-03-09,43.4,Neutral
2023-03-10,47.8,Neutral
2023-03-11,49.3,Neutral
2023-03-12,46.8,Neutral
2023-03-13,48.4,Neutral
2023-03-14,54.6,Neutral
2023-03-15,54.2,Neutral
2023-03-16,60.3,Greed
2023-03-17,49.3,Neutral
2023-03-18,52.6,Neutral
2023-03-19,52.8,Neutral
2023-03-20,51.5,Neutral
2023-03-21,51.8,Neutral
2023-03-22,43.7,Neutral
2023-03-23,43.2,Neutral
2023-03-24,44.9,Neutral
2023-03-25,51.1,Neutral
2023-03-26,49.0,Neutral
2023-03-27,45.8,Neutral
2023-03-28,44.0,Neutral
2023-03-29,48.0,Neutral
2023-03-30,49.4,Neutral
2023-03-31,47.3,Neutral
2023-04-01,49.5,Neutral
2023-04-02,49.9,Neutral
2023-04-03,53.8,Neutral
2023-04-04,50.8,Neutral
2023-04-05,49.4,Neutral
2023-04-06,47.9,Neutral
2023-04-07,42.1,Neutral
2023-04-08,43.7,Neutral
2023-04-09,45.1,Neutral
2023-04-10,45.3,Neutral
2023-04-11,44.6,Neutral
2023-04-12,39.2,Fear
2023-04-13,38.1,Fear
2023-04-14,37.3,Fear
2023-04-15,34.7,Fear
2023-04-16,34.9,Fear
