account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x000faaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,BTC-USD,31313.2552,0.073761,SELL,2023-05-06 07:08:00,4.865152,FILL,65.2225,20
0x000eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,DOGE-USD,0.0825,0.348342,BUY,2023-10-30 13:02:00,-3.471409,FILL,0.0,1
0x000caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1662.8172,0.393907,BUY,2023-09-16 19:01:00,-3.393186,FILL,0.0,10
0x001aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,DOGE-USD,0.0725,0.218334,SELL,2023-04-23 14:37:00,3.967654,FILL,-0.0003,3
0x0001aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1573.3262,0.040929,SELL,2023-06-24 08:09:00,4.823786,FILL,1.3226,2
0x002caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,BTC-USD,26508.3501,0.738677,BUY,2023-07-14 03:22:00,3.655071,FILL,0.0,50
0x002daaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,DOGE-USD,0.0876,0.459298,SELL,2024-02-18 01:46:00,1.686432,FILL,-0.0009,5
0x0045aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,BTC-USD,33864.3839,0.293544,SELL,2023-02-10 17:18:00,-2.200209,FILL,609.3604,50
0x0050aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,SOL-USD,27.0212,2.525565,BUY,2023-12-27 02:02:00,-3.129563,FILL,0.0,20
0x001eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,SOL-USD,23.6776,0.661404,BUY,2024-03-13 07:55:00,-2.575903,FILL,0.0,1
0x0031aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,SOL-USD,22.1113,0.032254,SELL,2023-11-22 11:10:00,0.812382,FILL,-0.0326,3
0x002eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1613.3559,1.110254,SELL,2023-12-26 21:41:00,-4.481765,FILL,149.592,1
0x004eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1711.7663,0.099843,BUY,2023-03-25 14:24:00,-3.655853,FILL,0.0,3
0x0048aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1564.2225,0.273866,SELL,2024-03-07 01:14:00,1.815027,FILL,9.7705,50
0x0005aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,SOL-USD,26.9517,0.242565,SELL,2023-05-18 02:13:00,-0.881591,FILL,0.4773,10
0x0029aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1718.3889,0.592492,SELL,2023-07-22 20:29:00,-3.187669,FILL,2.7304,2
0x0022aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ETH-USD,1565.908,0.814563,BUY,2024-01-17 17:34:00,3.418288,FILL,0.0,3
