timestamp,account,symbol,side,execution_price,size,value,leverage,closedPnL,sentiment,fg_value,is_winner
2023-01-01 00:54:15,trader_025,ARB-USD,long,1.2231,10.0706,12.32,20.7,4.59,Neutral,50.0,1
2023-01-01 01:26:13,trader_023,BTC-USD,short,68083.7956,1.3556,92294.39,30.0,-0.01,Neutral,50.0,0
2023-01-01 02:12:39,trader_007,SOL-USD,short,157.0072,5.1822,813.64,5.3,-16.6,Neutral,50.0,0
2023-01-01 05:07:12,trader_001,SOL-USD,long,149.4591,14.3971,2151.78,25.1,10.53,Neutral,50.0,1
2023-01-01 05:27:34,trader_024,BTC-USD,short,69533.7128,1.6938,117776.2,6.8,-19.0,Neutral,50.0,0
2023-01-01 06:00:19,trader_057,SOL-USD,short,22.6384,4.7094,106.61,6.0,48.79,Neutral,50.0,1
2023-01-01 08:01:07,trader_010,SOL-USD,long,28.2773,2.504,70.81,12.5,140.59,Neutral,50.0,1
2023-01-01 08:15:13,trader_052,SOL-USD,long,32.3845,12.2453,396.56,9.2,-21.42,Neutral,50.0,0
2023-01-01 09:16:48,trader_071,BTC-USD,long,68803.9075,23.0043,1582785.73,4.7,61.85,Neutral,50.0,1
2023-01-01 09:50:07,trader_020,SOL-USD,short,116.3425,2.0224,235.29,6.5,78.56,Neutral,50.0,1
2023-01-01 10:17:07,trader_078,DOGE-USD,short,0.1101,7.3678,0.81,4.1,-84.14,Neutral,50.0,0
2023-01-01 10:48:37,trader_078,BTC-USD,short,44191.4633,5.7375,253548.52,7.9,-5.57,Neutral,50.0,0
2023-01-01 11:09:35,trader_005,SOL-USD,short,180.7323,1.1872,214.57,4.3,27.73,Neutral,50.0,1
2023-01-01 12:31:47,trader_035,BTC-USD,long,50900.5687,6.9865,355616.82,29.9,156.56,Neutral,50.0,1
2023-01-01 13:51:53,trader_042,BTC-USD,long,65115.9007,5.4824,356991.41,7.9,-94.4,Neutral,50.0,0
2023-01-01 14:41:56,trader_078,DOGE-USD,short,0.1387,1.1608,0.16,3.9,49.0,Neutral,50.0,1
2023-01-01 15:09:53,trader_046,DOGE-USD,long,0.1312,2.1018,0.28,3.9,-30.78,Neutral,50.0,0
2023-01-01 15:25:41,trader_053,BTC-USD,long,60944.3515,7.7465,472105.42,18.9,-47.89,Neutral,50.0,0
2023-01-01 15:51:46,trader_045,ETH-USD,short,3373.1168,3.0301,10220.88,15.7,-130.63,Neutral,50.0,0
2023-01-01 16:11:20,trader_010,SOL-USD,short,57.8335,0.7259,41.98,9.4,86.58,Neutral,50.0,1
2023-01-01 16:17:42,trader_032,BTC-USD,short,20453.9571,1.2032,24610.2,7.1,-53.42,Neutral,50.0,0
2023-01-01 16:30:03,trader_011,BTC-USD,short,49611.3237,8.0306,398408.7,5.1,-81.46,Neutral,50.0,0
2023-01-01 16:30:58,trader_030,BTC-USD,long,39356.113,21.5952,849903.13,8.0,-12.91,Neutral,50.0,0
2023-01-01 16:57:08,trader_029,ARB-USD,long,1.0957,2.8163,3.09,11.2,42.5,Neutral,50.0,1
2023-01-01 17:17:01,trader_016,BTC-USD,long,68655.2141,1.6585,113864.67,5.0,148.58,Neutral,50.0,1
2023-01-01 17:20:10,trader_036,ETH-USD,short,1748.6543,1.3572,2373.27,2.3,-20.93,Neutral,50.0,0
2023-01-01 18:27:47,trader_060,SOL-USD,short,22.1453,3.6199,80.16,16.8,-27.41,Neutral,50.0,0
2023-01-01 20:35:09,trader_001,ETH-USD,long,3909.2082,4.0617,15878.03,23.4,110.29,Neutral,50.0,1
2023-01-01 21:04:34,trader_035,BTC-USD,long,27200.4996,6.591,179278.49,28.9,-105.53,Neutral,50.0,0
2023-01-01 22:39:58,trader_046,SOL-USD,short,75.7453,2.8659,217.08,6.3,90.62,Neutral,50.0,1
2023-01-01 22:49:43,trader_071,ARB-USD,long,0.5412,10.9858,5.95,4.7,-62.51,Neutral,50.0,0
2023-01-01 23:32:15,trader_022,SOL-USD,short,159.2962,2.9366,467.79,2.3,14.27,Neutral,50.0,1
2023-01-02 00:33:35,trader_029,DOGE-USD,short,0.1115,1.7541,0.2,3.5,-42.21,Neutral,52.0,0
2023-01-02 02:31:01,trader_057,BTC-USD,short,42929.9322,1.4507,62278.45,9.5,75.59,Neutral,52.0,1
2023-01-02 03:34:29,trader_008,SOL-USD,long,10.4344,3.1338,32.7,2.1,17.24,Neutral,52.0,1
2023-01-02 04:13:45,trader_065,BTC-USD,short,64797.9496,1.4616,94708.68,1.0,62.4,Neutral,52.0,1
2023-01-02 05:42:25,trader_037,SOL-USD,long,137.9795,4.6324,639.18,21.4,131.56,Neutral,52.0,1
2023-01-02 06:01:53,trader_045,SOL-USD,short,123.5058,0.6052,74.75,18.7,-48.9,Neutral,52.0,0
2023-01-02 06:16:36,trader_011,SOL-USD,short,34.8267,1.7333,60.37,7.6,90.35,Neutral,52.0,1
2023-01-02 06:39:42,trader_047,ARB-USD,short,0.5663,6.2752,3.55,5.9,-56.47,Neutral,52.0,0
2023-01-02 06:44:08,trader_077,DOGE-USD,long,0.1271,10.1417,1.29,22.9,-52.54,Neutral,52.0,0
2023-01-02 07:16:27,trader_003,BTC-USD,short,19782.513,7.7888,154082.04,9.7,-52.18,Neutral,52.0,0
2023-01-02 08:20:13,trader_041,SOL-USD,long,88.6103,1.5419,136.63,18.6,-63.83,Neutral,52.0,0
2023-01-02 08:25:10,trader_061,ETH-USD,short,3285.2658,5.2785,17341.28,10.0,-84.98,Neutral,52.0,0
2023-01-02 08:50:16,trader_020,BTC-USD,short,32596.879,2.1538,70207.16,5.9,-1.43,Neutral,52.0,0
2023-01-02 08:53:06,trader_070,ETH-USD,short,1234.4898,1.0322,1274.24,8.7,7.19,Neutral,52.0,1
2023-01-02 09:38:33,trader_038,SOL-USD,long,209.291,0.4923,103.03,24.9,-51.75,Neutral,52.0,0
2023-01-02 09:46:54,trader_071,SOL-USD,long,60.4003,6.0067,362.81,5.8,77.77,Neutral,52.0,1
2023-01-02 09:50:29,trader_054,ETH-USD,long,2624.1712,1.5418,4045.95,7.9,-15.93,Neutral,52.0,0
2023-01-02 10:04:48,trader_014,BTC-USD,short,33966.1211,17.4363,592243.48,5.7,-19.53,Neutral,52.0,0
2023-01-02 11:44:12,trader_062,ETH-USD,short,1023.3888,1.3324,1363.56,3.6,112.54,Neutral,52.0,1
2023-01-02 12:20:46,trader_055,BTC-USD,short,17802.9066,0.6396,11386.74,22.3,53.53,Neutral,52.0,1
2023-01-02 12:33:40,trader_051,ETH-USD,short,2508.251,28.9897,72713.44,7.8,38.34,Neutral,52.0,1
2023-01-02 12:49:47,trader_075,BTC-USD,short,70287.6247,2.0301,142690.91,12.8,-180.27,Neutral,52.0,0
2023-01-02 13:04:12,trader_018,ETH-USD,long,1156.7097,10.2109,11811.05,14.0,33.01,Neutral,52.0,1
2023-01-02 13:31:20,trader_026,BTC-USD,long,43915.5384,12.117,532124.58,4.2,83.05,Neutral,52.0,1
2023-01-02 14:56:53,trader_062,ARB-USD,short,0.994,8.9896,8.94,5.1,-107.55,Neutral,52.0,0
2023-01-02 15:01:42,trader_051,SOL-USD,long,141.7543,11.5299,1634.41,11.3,-149.27,Neutral,52.0,0
2023-01-02 15:56:39,trader_028,BTC-USD,short,45807.9308,1.3617,62376.66,12.3,-2.03,Neutral,52.0,0
2023-01-02 16:22:30,trader_027,DOGE-USD,short,0.1405,1.7624,0.25,19.0,132.66,Neutral,52.0,1
2023-01-02 17:00:06,trader_008,SOL-USD,long,102.6539,26.4237,2712.5,3.7,42.45,Neutral,52.0,1
2023-01-02 17:18:58,trader_074,SOL-USD,short,38.3317,2.9643,113.63,8.4,-18.77,Neutral,52.0,0
2023-01-02 17:20:22,trader_021,BTC-USD,short,48585.5593,5.3363,259267.12,3.1,-15.79,Neutral,52.0,0
2023-01-02 17:44:04,trader_010,SOL-USD,long,108.2346,4.7422,513.27,4.7,24.36,Neutral,52.0,1
2023-01-02 17:47:06,trader_023,BTC-USD,short,19136.1293,70.989,1358454.68,20.0,-162.46,Neutral,52.0,0
2023-01-02 18:23:31,trader_053,BTC-USD,long,68248.1134,0.4957,33830.59,22.2,-69.11,Neutral,52.0,0
2023-01-02 18:47:10,trader_059,ETH-USD,short,1935.0939,1.7859,3455.88,4.4,19.71,Neutral,52.0,1
2023-01-02 19:31:15,trader_050,ARB-USD,short,0.8887,19.665,17.48,15.4,125.3,Neutral,52.0,1
2023-01-02 19:31:47,trader_067,SOL-USD,long,88.1192,2.6622,234.59,12.5,53.9,Neutral,52.0,1
2023-01-02 21:14:18,trader_037,SOL-USD,short,163.3937,4.3675,713.62,11.2,102.98,Neutral,52.0,1
2023-01-02 21:25:33,trader_037,SOL-USD,long,163.8416,1.5822,259.23,3.6,-63.61,Neutral,52.0,0
2023-01-02 22:03:48,trader_037,BTC-USD,short,55552.1736,2.6819,148985.37,11.3,66.73,Neutral,52.0,1
2023-01-02 22:35:37,trader_017,SOL-USD,short,70.6194,3.5792,252.76,10.4,-164.49,Neutral,52.0,0
2023-01-02 22:49:40,trader_059,BTC-USD,short,63337.3635,11.7344,743225.96,5.4,144.08,Neutral,52.0,1
2023-01-03 03:55:05,trader_051,ETH-USD,short,3616.0563,16.2267,58676.66,10.9,-90.97,Neutral,51.3,0
2023-01-03 04:05:08,trader_047,ETH-USD,long,3328.3678,21.33,70994.09,5.4,-33.09,Neutral,51.3,0
2023-01-03 04:43:02,trader_008,ARB-USD,long,0.848,2.9331,2.49,5.1,-84.86,Neutral,51.3,0
2023-01-03 08:20:33,trader_053,SOL-USD,short,115.7213,2.1431,248.0,21.2,-120.8,Neutral,51.3,0
2023-01-03 08:53:30,trader_072,ETH-USD,long,2078.5647,5.0016,10396.15,2.7,-19.05,Neutral,51.3,0
2023-01-03 08:57:48,trader_070,ETH-USD,long,3945.2159,4.3294,17080.42,15.3,-89.03,Neutral,51.3,0
2023-01-03 08:58:44,trader_060,ETH-USD,long,1902.0949,36.278,69004.2,11.5,64.15,Neutral,51.3,1
2023-01-03 08:58:48,trader_035,DOGE-USD,long,0.0563,5.7127,0.32,14.8,-5.4,Neutral,51.3,0
2023-01-03 09:12:19,trader_031,BTC-USD,long,44008.8797,30.2222,1330045.16,7.6,-25.57,Neutral,51.3,0
2023-01-03 09:25:36,trader_040,BTC-USD,long,37223.3542,6.7876,252657.24,2.0,-37.5,Neutral,51.3,0
2023-01-03 09:52:39,trader_037,ETH-USD,long,1839.5137,6.1784,11365.25,15.2,17.59,Neutral,51.3,1
2023-01-03 09:54:24,trader_055,ETH-USD,long,2355.5069,1.0592,2494.95,24.2,-40.98,Neutral,51.3,0
2023-01-03 10:05:04,trader_030,DOGE-USD,long,0.0719,7.7712,0.56,13.1,112.07,Neutral,51.3,1
2023-01-03 10:39:58,trader_054,BTC-USD,long,35596.9166,3.9357,140098.78,8.6,-15.93,Neutral,51.3,0
